utctimestamp,01FI1101E/PV.CV,01FI1103/AI1/PV.CV,01AI1923/AI1/PV.CV,60PI0496/AI1/PV.CV,01TI1538/AI1/PV.CV,01HC1955/PID1/PV.CV
2017-01-06 03:00:00+00:00,513.7689643,50.66016026,84.0612317,1036.878794,-2.03715037,5555.92334
2017-01-06 04:00:00+00:00,496.302321,50.00672743,83.89314252,1036.857602,-2.214332661,5565.31456
2017-01-06 05:00:00+00:00,496.6560676,29.05745635,83.72505333,1037.076175,-2.276822778,5550.121273
2017-01-06 06:00:00+00:00,514.4286223,48.98667001,83.55696414,1037.246277,-2.238587849,5566.994041
2017-01-06 07:00:00+00:00,518.0056217,24.6034616,83.38884402,1037.463409,-1.812618087,5572.253871
2017-01-06 08:00:00+00:00,510.0883571,51.98350413,83.133361,1037.721842,-1.897396954,5569.611643
2017-01-06 09:00:00+00:00,526.803419,41.36811308,82.79687742,1037.864512,-1.188918186,5574.465468
2017-01-06 10:00:00+00:00,512.0626762,63.03931965,82.46039383,1037.492774,-0.272744573,5572.65088
2017-01-06 11:00:00+00:00,500.5936175,61.55979618,82.12391025,1036.79051,0.298108162,5574.461492
2017-01-06 12:00:00+00:00,492.4842159,52.42628933,81.74836318,1036.056163,1.167105382,5588.931812
2017-01-06 13:00:00+00:00,504.4765861,35.26623179,80.87118409,1035.525772,1.772276006,5594.98081
2017-01-06 14:00:00+00:00,503.5921384,35.07653193,79.84084001,1035.452581,2.20894248,5608.072708
2017-01-06 15:00:00+00:00,507.9890268,62.25168888,78.81049594,1035.312988,1.849415232,5618.35384
2017-01-06 16:00:00+00:00,502.4325752,27.01933247,77.78015186,1035.437966,1.421241354,5598.561049
2017-01-06 17:00:00+00:00,524.3222163,36.78144914,77.13916432,1035.194801,1.090151564,5590.033751
2017-01-06 18:00:00+00:00,500.9303061,52.70567953,77.25174651,1035.044052,0.371062663,5586.881085
2017-01-06 19:00:00+00:00,502.0046054,65.16633218,77.38344543,1034.693859,0.295628567,5583.264025
2017-01-06 20:00:00+00:00,492.1765798,55.81638887,77.51722687,1034.039672,0.488497349,5595.315907
2017-01-06 21:00:00+00:00,492.0421275,37.32107873,77.77682032,1033.890449,0.502138491,5578.254367
2017-01-06 22:00:00+00:00,485.3293546,64.66491122,78.11046891,1033.40211,0.465635524,5596.601929
2017-01-06 23:00:00+00:00,497.0360923,56.85938486,78.44411751,1032.832347,0.625956736,5597.767703
2017-01-07 00:00:00+00:00,496.5482341,29.12941502,78.7777661,1032.425903,0.631636041,5608.981837
2017-01-07 01:00:00+00:00,503.9919165,62.84581267,79.25289014,1032.040212,0.088463183,5590.064994
2017-01-07 02:00:00+00:00,484.9703652,36.16018786,80.71591897,1031.398595,-0.183011137,5587.682388
2017-01-07 03:00:00+00:00,519.5202086,46.01867387,82.36917543,1030.788874,-0.129923446,5585.012309
2017-01-07 04:00:00+00:00,489.5703151,47.52744716,84.02243189,1030.116801,-0.128238075,5600.536558
2017-01-07 05:00:00+00:00,511.2299532,43.11821078,85.67568835,1029.19219,0.176961507,5610.602979
2017-01-07 06:00:00+00:00,484.8493493,64.67763519,86.82683499,1028.993673,0.660425226,5624.179715
2017-01-07 07:00:00+00:00,490.2883223,56.22843702,87.36686816,1028.952881,1.097088112,5605.457822
2017-01-07 08:00:00+00:00,499.3938283,25.89739234,87.90546118,1028.943603,1.095533278,5608.765174
2017-01-07 09:00:00+00:00,509.3028362,30.54793857,88.4440542,1028.768372,0.996384318,5638.064868
2017-01-07 10:00:00+00:00,494.7757091,43.04793766,88.98264721,1028.501272,0.912569846,5643.765008
2017-01-07 11:00:00+00:00,497.2859648,41.76535015,89.52124023,1028.244415,0.698685721,5634.279917
2017-01-07 12:00:00+00:00,492.1929877,62.50515892,90.05983325,1027.717351,0.847472067,5640.836326
2017-01-07 13:00:00+00:00,489.6315533,28.68780614,90.59948722,1027.304957,1.179524772,5656.3538
2017-01-07 14:00:00+00:00,489.9705355,61.65618552,91.28642995,1027.247126,1.104640515,5642.585168
2017-01-07 15:00:00+00:00,515.4125237,45.72043224,92.07754804,1027.402588,1.261633228,5640.680274
2017-01-07 16:00:00+00:00,516.1109031,64.51506083,92.86866613,1027.51268,1.51971975,5639.866872
2017-01-07 17:00:00+00:00,485.8377683,27.29252797,93.65978423,1027.68869,1.687096825,5652.543106
2017-01-07 18:00:00+00:00,512.3566427,65.45154175,94.45090232,1027.752523,2.07258675,5672.575615
2017-01-07 19:00:00+00:00,496.2902316,64.72671627,95.24202041,1027.678009,2.473191113,5669.67323
2017-01-07 20:00:00+00:00,510.5176395,30.67737274,96.0331385,1027.690725,2.877399118,5652.095875
2017-01-07 21:00:00+00:00,498.2333125,60.93836512,96.81146444,1027.907043,3.766306968,5647.730887
2017-01-07 22:00:00+00:00,509.1213337,42.15015893,97.2954133,1027.957245,5.148569743,5669.368621
2017-01-07 23:00:00+00:00,500.212402,58.36472656,97.65641153,1027.912079,5.532160619,5671.330332
